Bin	Id	#	markers	marker	Contamination	ambiguous	#
3300020511-bin.5	k__Bacteria	51.44	4.82	452106	103	29.2	568
3300020511-bin.6	c__Betaproteobacteria	37.67	0.00	416580	96	36.4	559
3300020511-bin.7	k__Bacteria	31.94	0.00	915496	240	33.6	1035
3300020511-bin.8	k__Bacteria	62.23	2.59	1135297	149	46.0	1235
3300020511-bin.9	k__Bacteria	13.01	0.00	256234	71	51.8	320
3300020512-bin.1	o__Actinomycetales	34.89	0.08	499419	120	38.7	600
3300020512-bin.10	c__Betaproteobacteria	90.30	1.50	1101733	86	37.1	1220
3300020512-bin.11	o__Actinomycetales	67.68	1.22	982614	134	42.2	1092
3300020512-bin.12	k__Bacteria	2.35	0.63	230297	63	23.8	264
3300020512-bin.13	o__Actinomycetales	20.96	0.00	315549	78	54.3	380
3300020512-bin.14	k__Bacteria	12.00	0.00	238426	64	51.5	314
3300020512-bin.15	o__Burkholderiales	12.71	0.00	251518	74	45.5	318
3300020512-bin.16	o__Burkholderiales	12.08	0.00	268456	82	51.4	354
3300020512-bin.17	o__Actinomycetales	72.66	1.74	1123292	139	45.9	1227
3300020512-bin.18	k__Bacteria	8.62	0.00	203534	51	39.0	249
3300020512-bin.19	k__Bacteria	69.65	0.67	605175	124	29.4	704
3300020512-bin.2	k__Bacteria	65.90	0.84	788192	150	62.5	902
3300020512-bin.20	k__Bacteria	72.13	2.71	1459635	250	53.4	1650
3300020512-bin.21	o__Burkholderiales	75.90	0.23	2627940	492	56.3	2909
3300020512-bin.3	o__Actinomycetales	89.87	1.21	1343553	68	46.3	1350
3300020512-bin.4	k__Bacteria	63.03	1.28	680697	136	29.3	827
3300020512-bin.5	k__Bacteria	12.51	0.00	402767	103	51.1	492
3300020512-bin.6	o__Actinomycetales	25.61	0.52	352512	89	44.6	444
3300020512-bin.7	root	0.00	0.00	238292	39	33.9	329
3300020512-bin.8	k__Bacteria	34.47	2.04	742287	176	51.1	888
3300020512-bin.9	k__Bacteria	83.48	3.85	1387351	209	51.8	1614
3300020513-bin.1	k__Bacteria	44.83	0.00	2310317	563	37.8	2445
3300020513-bin.10	o__Actinomycetales	61.02	1.18	702446	144	40.7	801
3300020513-bin.11	c__Betaproteobacteria	68.58	3.70	1186687	241	49.2	1343
3300020513-bin.12	root	0.00	0.00	316334	16	31.8	443
3300020513-bin.13	k__Archaea	3.04	0.43	374924	61	46.5	423
3300020513-bin.14	k__Bacteria	38.78	0.00	393755	86	29.6	487
3300020513-bin.15	k__Bacteria	29.87	0.00	1041340	279	62.4	1175
3300020513-bin.16	c__Gammaproteobacteria	62.05	2.85	1752643	397	40.1	1901
3300020513-bin.2	k__Bacteria	26.02	0.86	421410	99	45.5	491
3300020513-bin.3	root	0.00	0.00	270167	72	66.4	242
3300020513-bin.4	root	0.00	0.00	258623	38	60.3	282
3300020513-bin.5	root	0.00	0.00	292734	40	30.8	439
3300020513-bin.6	k__Bacteria	40.92	0.21	1555633	367	67.0	1567
3300020513-bin.7	c__Betaproteobacteria	61.65	0.56	711587	142	36.9	864
3300020513-bin.8	k__Bacteria	97.96	0.91	2366479	129	57.4	2246
3300020513-bin.9	o__Burkholderiales	53.51	0.47	1222986	290	51.5	1445
3300020514-bin.1	k__Archaea	1.73	0.00	343056	63	38.3	414
3300020514-bin.10	o__Actinomycetales	56.26	0.78	822243	167	44.2	950
3300020514-bin.11	k__Bacteria	52.21	0.07	529470	113	29.5	650
3300020514-bin.2	k__Bacteria	27.70	0.00	300714	72	29.4	382
3300020514-bin.3	o__Actinomycetales	50.71	0.59	601020	117	40.4	695
3300020514-bin.4	p__Bacteroidetes	71.75	1.75	2206338	438	40.4	2187
3300020514-bin.5	p__Cyanobacteria	36.26	0.73	1836448	478	42.4	1935
3300020514-bin.6	k__Bacteria	66.38	1.72	1083591	122	46.0	1155
3300020514-bin.7	o__Actinomycetales	73.84	2.28	1088068	123	42.3	1184
3300020514-bin.8	k__Bacteria	27.59	0.00	706563	147	46.1	782
3300020514-bin.9	k__Bacteria	83.28	0.00	4312488	607	52.5	3726
3300020515-bin.1	k__Bacteria	18.71	0.00	246616	62	62.1	315
3300020515-bin.10	k__Bacteria	60.90	0.60	542775	106	29.2	632
3300020515-bin.11	k__Bacteria	25.94	0.00	344301	94	53.6	430
3300020515-bin.12	p__Cyanobacteria	38.66	0.27	860250	230	67.8	1081
3300020515-bin.13	k__Bacteria	70.07	1.74	3468301	640	43.6	3236
3300020515-bin.14	k__Bacteria	69.26	0.07	734650	137	29.5	885
3300020515-bin.2	k__Bacteria	38.79	0.00	630410	142	46.3	731
3300020515-bin.3	root	0.00	0.00	257145	69	51.6	332
3300020515-bin.4	k__Bacteria	39.18	0.00	388248	102	42.0	484
3300020515-bin.5	root	0.00	0.00	244493	35	31.2	342
3300020515-bin.6	o__Actinomycetales	68.80	0.53	864928	122	40.5	962
3300020515-bin.7	o__Actinomycetales	27.71	0.00	374854	94	38.7	461
3300020515-bin.8	c__Betaproteobacteria	82.00	0.21	1003831	98	37.0	1144
3300020515-bin.9	k__Bacteria	32.32	0.00	522682	117	39.5	591
3300020516-bin.1	o__Actinomycetales	68.25	6.02	1063273	191	44.1	1200
3300020516-bin.10	o__Actinomycetales	77.16	1.41	1058575	101	38.7	1147
3300020516-bin.11	k__Bacteria	93.16	2.28	2089271	246	67.2	2199
3300020516-bin.12	k__Bacteria	47.97	3.61	475901	112	29.2	595
3300020516-bin.13	p__Bacteroidetes	42.49	1.23	1091019	261	40.6	1186
3300020516-bin.14	o__Actinomycetales	80.85	0.18	1185293	104	47.9	1253
3300020516-bin.15	c__Betaproteobacteria	59.04	0.96	642311	127	36.6	794
3300020516-bin.16	o__Actinomycetales	83.41	0.18	1223423	65	48.9	1266
3300020516-bin.17	k__Bacteria	11.94	0.00	470195	133	62.8	541
3300020516-bin.18	k__Bacteria	87.77	0.00	835254	27	32.5	826
3300020516-bin.19	p__Cyanobacteria	67.43	0.63	1692581	362	68.3	2052
3300020516-bin.2	k__Bacteria	41.70	2.35	2530686	624	49.6	2345
3300020516-bin.20	o__Actinomycetales	69.44	2.81	1044203	121	42.3	1141
3300020516-bin.3	k__Bacteria	72.41	1.72	967016	173	45.9	1100
3300020516-bin.4	k__Bacteria	60.51	2.72	586770	125	29.2	728
3300020516-bin.5	k__Bacteria	63.24	0.00	2254512	488	68.4	2204
3300020516-bin.6	o__Actinomycetales	66.99	0.79	918861	99	40.6	1002
3300020516-bin.7	k__Bacteria	39.47	0.00	751826	178	47.8	859
3300020516-bin.8	o__Actinomycetales	65.80	1.35	891562	137	50.8	1029
3300020516-bin.9	k__Bacteria	35.69	2.14	765788	177	59.6	902
3300020517-bin.1	k__Bacteria	69.48	5.81	3745883	641	43.7	3440
3300020517-bin.10	k__Bacteria	43.57	0.57	734040	158	46.3	870
3300020517-bin.11	k__Bacteria	58.42	1.72	846929	140	42.2	953
3300020517-bin.12	c__Betaproteobacteria	82.86	0.88	960027	68	36.9	1069
3300020517-bin.13	k__Bacteria	65.17	2.70	1516888	291	58.9	1688
3300020517-bin.14	o__Actinomycetales	58.40	1.25	780024	148	38.6	918
3300020517-bin.15	k__Bacteria	18.09	0.00	358193	88	44.7	435
3300020517-bin.16	p__Cyanobacteria	92.58	1.31	4826932	546	42.0	4679
3300020517-bin.17	o__Burkholderiales	84.00	1.67	1982998	342	51.7	2213
3300020517-bin.18	k__Bacteria	8.62	0.00	434412	129	40.8	544
3300020517-bin.19	k__Bacteria	16.90	0.00	1094347	300	54.9	1056
3300020517-bin.2	o__Actinomycetales	79.81	0.83	1224783	138	45.9	1326
3300020517-bin.20	root	16.67	0.00	264579	74	40.7	318
3300020517-bin.21	k__Bacteria	16.14	0.35	1246624	302	42.5	1189
3300020517-bin.22	o__Actinomycetales	45.79	0.39	579314	119	40.1	689
3300020517-bin.3	k__Bacteria	19.49	0.00	458418	113	51.1	534
3300020517-bin.4	k__Bacteria	29.08	0.00	427441	92	39.4	497
3300020517-bin.5	k__Bacteria	6.03	0.00	461461	130	38.9	499
3300020517-bin.6	root	0.00	0.00	341730	89	45.2	414
3300020517-bin.7	o__Burkholderiales	30.38	0.00	915315	247	68.8	1012
3300020517-bin.8	k__Bacteria	56.70	0.71	547090	114	29.4	654
3300020517-bin.9	k__Bacteria	60.81	1.31	663181	138	29.4	791
3300020518-bin.1	o__Actinomycetales	80.49	0.94	1097403	143	48.9	1220
3300020518-bin.10	k__Bacteria	9.72	0.00	439337	131	42.8	506
3300020518-bin.11	f__Flavobacteriaceae	29.90	0.12	778004	205	32.9	894
3300020518-bin.12	k__Bacteria	35.17	0.00	626227	162	49.5	744
3300020518-bin.13	k__Bacteria	13.01	0.00	480239	139	42.9	573
3300020518-bin.2	k__Bacteria	88.89	2.14	1675177	152	59.8	1778
3300020518-bin.3	k__Bacteria	28.33	0.00	207903	58	29.2	268
3300020518-bin.4	k__Bacteria	8.08	0.00	217603	69	68.1	233
3300020518-bin.5	k__Bacteria	18.42	0.00	208410	61	50.3	292
3300020518-bin.6	o__Actinomycetales	75.82	0.86	1067184	112	38.7	1163
3300020518-bin.7	p__Cyanobacteria	56.39	1.04	1448700	351	68.9	1846
3300020518-bin.8	k__Bacteria	94.71	3.53	3501331	371	70.0	3066
3300020518-bin.9	p__Cyanobacteria	85.45	2.07	2168131	293	68.0	2516
3300020519-bin.1	k__Bacteria	12.19	0.00	279014	86	39.9	384
3300020519-bin.10	k__Bacteria	24.85	0.05	362889	100	45.0	414
3300020519-bin.11	o__Actinomycetales	77.49	0.99	1086887	110	38.7	1201
3300020519-bin.12	o__Actinomycetales	44.63	2.11	750524	157	44.0	886
3300020519-bin.13	o__Actinomycetales	67.75	1.08	849911	122	39.8	935
3300020519-bin.14	o__Actinomycetales	40.54	0.54	582762	125	45.6	699
3300020519-bin.15	c__Betaproteobacteria	75.43	0.58	827340	91	37.1	927
3300020519-bin.16	k__Bacteria	76.85	3.70	965437	149	62.6	1064
3300020519-bin.17	k__Bacteria	37.93	1.72	514206	121	45.6	617
3300020519-bin.18	c__Gammaproteobacteria	98.05	1.15	2530461	254	43.9	2632
3300020519-bin.19	k__Bacteria	33.95	0.00	625123	165	36.2	690
3300020519-bin.2	o__Actinomycetales	56.57	1.08	674264	113	39.9	756
3300020519-bin.20	o__Actinomycetales	73.98	0.53	1035502	80	40.7	1095
3300020519-bin.21	k__Bacteria	67.55	1.20	640811	126	29.5	745
3300020519-bin.22	k__Bacteria	81.53	1.35	1656815	266	33.2	1706
3300020519-bin.23	p__Cyanobacteria	18.49	0.00	712205	208	42.1	753
3300020519-bin.3	k__Bacteria	57.78	0.92	612632	126	29.3	741
3300020519-bin.4	k__Bacteria	15.52	0.00	286870	82	51.1	352
3300020519-bin.5	k__Bacteria	16.24	1.00	221379	53	51.3	266
3300020519-bin.6	k__Bacteria	41.69	1.72	613900	144	41.2	715
3300020519-bin.7	o__Actinomycetales	68.80	1.32	1035630	108	42.4	1111
3300020519-bin.8	c__Betaproteobacteria	62.78	6.28	1220677	240	49.4	1330
3300020519-bin.9	c__Gammaproteobacteria	71.42	5.34	2387592	473	39.8	2603
3300020520-bin.1	k__Bacteria	89.03	3.81	1509539	228	51.8	1718
3300020520-bin.10	o__Actinomycetales	77.59	2.89	985145	166	50.2	1117
3300020520-bin.11	k__Bacteria	97.28	0.00	2293813	206	58.0	2176
3300020520-bin.12	k__Archaea	2.11	0.58	338766	81	21.7	395
3300020520-bin.13	o__Actinomycetales	89.84	1.16	1324152	67	46.3	1319
3300020520-bin.14	o__Actinomycetales	64.75	2.52	813463	121	39.7	919
3300020520-bin.15	p__Bacteroidetes	54.32	1.10	1363825	283	37.7	1452
3300020520-bin.16	o__Actinomycetales	71.54	2.03	1062669	140	38.6	1175
3300020520-bin.17	k__Bacteria	92.21	1.28	1922826	134	53.4	1987
3300020520-bin.18	o__Actinomycetales	58.74	0.18	852289	144	42.1	959
3300020520-bin.19	k__Bacteria	64.48	2.42	785372	151	63.1	894
3300020520-bin.2	o__Burkholderiales	40.45	0.00	634085	156	45.7	791
3300020520-bin.20	k__Bacteria	49.14	5.17	863673	166	46.3	969
3300020520-bin.21	k__Bacteria	60.12	1.01	693448	137	62.4	794
3300020520-bin.22	k__Bacteria	33.92	3.51	376610	94	49.3	448
3300020520-bin.23	o__Sphingomonadales	23.76	0.05	576428	155	55.3	696
3300020520-bin.24	k__Bacteria	82.91	1.28	1709525	213	51.6	1855
3300020520-bin.25	k__Bacteria	51.72	1.72	565377	149	38.3	659
3300020520-bin.26	c__Betaproteobacteria	63.53	0.43	715952	124	36.5	869
3300020520-bin.27	k__Bacteria	25.52	0.00	325187	89	53.7	401
3300020520-bin.28	o__Actinomycetales	64.26	1.59	761303	154	49.1	858
3300020520-bin.29	k__Bacteria	7.88	0.00	244326	71	50.5	315
3300020520-bin.3	root	20.83	0.00	421669	102	45.4	476
3300020520-bin.4	k__Bacteria	42.45	0.11	486734	105	29.4	575
3300020520-bin.5	k__Bacteria	56.75	2.01	548754	125	29.5	638
3300020520-bin.6	k__Bacteria	28.44	1.28	815734	205	52.4	958
3300020520-bin.7	o__Actinomycetales	47.21	1.32	601505	108	39.5	676
3300020520-bin.8	p__Cyanobacteria	96.10	0.78	3918708	344	37.1	3784
3300020520-bin.9	k__Bacteria	24.80	0.00	424927	97	40.8	514
3300020521-bin.1	k__Bacteria	48.82	0.00	450171	97	28.8	560
3300020521-bin.10	k__Bacteria	84.62	2.14	1493424	181	50.0	1599
3300020521-bin.11	o__Actinomycetales	78.23	0.18	1155313	94	38.8	1243
3300020521-bin.12	k__Archaea	3.76	0.00	353849	45	29.8	399
3300020521-bin.13	k__Bacteria	53.61	0.85	895012	196	61.1	1087
3300020521-bin.14	k__Bacteria	12.78	0.00	270211	71	51.8	333
3300020521-bin.15	k__Bacteria	13.93	0.00	657004	198	51.9	654
3300020521-bin.16	p__Cyanobacteria	89.99	3.05	2286296	282	68.4	2630
3300020521-bin.17	k__Bacteria	60.38	2.41	627485	128	29.5	754
3300020521-bin.2	k__Bacteria	88.03	2.99	1584865	164	50.0	1699
3300020521-bin.3	c__Betaproteobacteria	67.14	1.31	804982	126	36.7	960
3300020521-bin.4	p__Cyanobacteria	65.00	0.73	3180822	619	38.9	3380
3300020521-bin.5	k__Bacteria	100.00	2.23	2275580	123	67.2	2255
3300020521-bin.6	k__Bacteria	92.74	2.36	1619086	193	54.3	1807
3300020521-bin.7	k__Bacteria	85.47	1.28	1576449	196	59.7	1738
3300020521-bin.8	k__Bacteria	91.13	1.16	4352448	323	43.9	3669
3300020521-bin.9	k__Bacteria	60.68	1.79	1118657	242	51.5	1301
3300020522-bin.1	c__Betaproteobacteria	86.97	1.14	1064366	91	37.1	1182
3300020522-bin.10	o__Actinomycetales	47.12	0.88	664170	122	39.7	756
3300020522-bin.11	k__Bacteria	27.59	0.00	542558	140	45.6	652
3300020522-bin.12	k__Bacteria	100.00	1.35	2422381	119	59.5	2230
3300020522-bin.2	p__Bacteroidetes	32.42	0.41	710257	158	36.2	747
3300020522-bin.3	p__Cyanobacteria	37.52	0.22	1935569	440	37.8	2031
3300020522-bin.4	k__Bacteria	49.59	1.20	462405	113	29.4	546
3300020522-bin.5	k__Bacteria	36.71	0.17	461947	105	29.1	555
3300020522-bin.6	p__Cyanobacteria	87.97	0.33	3453214	425	37.2	3290
3300020522-bin.7	o__Sphingomonadales	96.10	0.54	2411729	166	55.7	2405
3300020522-bin.8	p__Cyanobacteria	56.56	0.22	3275111	603	38.2	3062
3300020522-bin.9	o__Actinomycetales	59.10	1.04	765578	156	42.3	911
3300020523-bin.1	k__Archaea	2.66	0.00	376540	29	31.7	360
3300020523-bin.10	k__Archaea	2.44	0.00	268742	24	31.0	295
3300020523-bin.11	root	4.17	0.00	260731	66	38.9	300
3300020523-bin.12	k__Archaea	3.51	0.50	449341	57	27.9	434
3300020523-bin.13	k__Archaea	3.51	0.50	484166	13	27.5	481
3300020523-bin.14	k__Bacteria	95.44	4.37	1566836	218	51.8	1768
3300020523-bin.15	k__Bacteria	95.73	2.71	1629368	208	54.3	1810
3300020523-bin.16	k__Bacteria	87.02	1.20	903539	118	29.6	1052
3300020523-bin.17	k__Bacteria	12.39	0.00	333229	92	52.3	400
3300020523-bin.18	k__Bacteria	14.89	0.00	212520	55	44.3	251
3300020523-bin.19	k__Bacteria	22.26	0.85	467487	128	51.6	573
3300020523-bin.2	o__Burkholderiales	14.89	0.43	284357	79	48.7	372
3300020523-bin.20	root	8.33	0.00	646655	39	52.7	685
3300020523-bin.21	k__Bacteria	77.21	0.00	1489379	228	51.3	1693
3300020523-bin.22	k__Archaea	3.45	0.00	614590	80	29.4	615
3300020523-bin.23	k__Archaea	4.91	0.50	414879	57	24.4	413
3300020523-bin.3	k__Bacteria	97.67	1.74	4818280	186	44.0	3845
3300020523-bin.4	o__Actinomycetales	31.20	0.27	424353	106	41.6	511
3300020523-bin.5	k__Bacteria	20.45	1.72	261315	73	45.7	332
3300020523-bin.6	k__Bacteria	1.94	0.00	735256	135	21.1	655
3300020523-bin.7	root	0.00	0.00	265724	26	46.9	185
3300020523-bin.8	c__Betaproteobacteria	68.34	1.85	815191	122	36.7	944
3300020523-bin.9	k__Bacteria	17.66	0.00	277854	87	65.3	281
3300020524-bin.1	k__Bacteria	38.81	1.42	376804	83	29.5	474
3300020524-bin.10	k__Bacteria	28.04	0.00	879394	217	65.7	913
3300020524-bin.11	k__Bacteria	25.31	0.00	277970	70	40.3	338
3300020524-bin.12	k__Bacteria	81.03	1.67	2228983	335	36.4	2269
3300020524-bin.13	root	0.00	0.00	255201	41	32.1	345
3300020524-bin.14	k__Bacteria	30.25	0.09	1137225	282	52.6	1364
3300020524-bin.15	p__Cyanobacteria	96.78	0.00	4782026	259	38.0	4613
3300020524-bin.16	k__Bacteria	10.11	0.00	231130	67	51.7	302
3300020524-bin.17	k__Bacteria	6.90	0.00	1043864	146	36.5	947
3300020524-bin.18	k__Bacteria	8.62	0.00	552491	157	35.3	590
3300020524-bin.19	k__Bacteria	20.42	0.67	266753	76	40.3	324
3300020524-bin.2	k__Bacteria	11.72	0.00	250369	77	42.8	263
3300020524-bin.20	k__Bacteria	21.05	0.00	297003	79	40.0	374
3300020524-bin.21	o__Burkholderiales	35.92	0.00	781737	215	51.4	940
3300020524-bin.3	k__Bacteria	10.34	0.00	263143	68	65.5	261
3300020524-bin.4	root	0.00	0.00	746620	179	65.4	697
3300020524-bin.5	k__Bacteria	12.39	0.00	297093	87	59.1	375
3300020524-bin.6	c__Betaproteobacteria	38.45	0.42	444525	106	37.1	557
3300020524-bin.7	k__Bacteria	37.07	0.00	548724	131	46.0	631
3300020524-bin.8	k__Bacteria	34.95	0.00	780101	211	51.5	912
3300020524-bin.9	o__Cytophagales	51.63	0.60	2018276	485	41.4	2292
3300020525-bin.1	c__Betaproteobacteria	47.09	0.30	551688	125	37.0	685
3300020525-bin.10	root	0.00	0.00	224568	36	29.8	349
3300020525-bin.11	k__Bacteria	92.31	0.00	1614305	185	39.1	1711
3300020525-bin.12	k__Bacteria	23.28	0.00	322349	87	44.7	412
3300020525-bin.13	k__Bacteria	63.75	1.23	3025836	672	43.5	2921
3300020525-bin.14	k__Bacteria	34.51	0.00	304935	70	29.9	384
3300020525-bin.15	k__Bacteria	14.66	0.00	430195	116	51.5	514
3300020525-bin.16	k__Bacteria	8.62	0.00	250565	71	46.0	282
3300020525-bin.17	k__Bacteria	8.39	0.00	315081	80	45.4	369
3300020525-bin.18	k__Archaea	2.90	1.29	520567	109	31.2	565
3300020525-bin.19	k__Bacteria	27.74	0.00	771592	162	45.6	901
3300020525-bin.2	k__Bacteria	64.87	1.28	1124253	238	54.1	1333
3300020525-bin.20	k__Bacteria	20.85	0.86	537249	118	45.5	605
3300020525-bin.21	k__Bacteria	68.90	0.85	1441890	267	51.3	1695
3300020525-bin.22	o__Burkholderiales	68.60	1.21	1619976	367	51.8	1826
3300020525-bin.23	k__Bacteria	32.05	0.00	367391	93	42.1	424
3300020525-bin.24	k__Bacteria	18.97	0.00	316335	74	45.6	362
3300020525-bin.25	k__Bacteria	9.48	0.00	340932	100	52.2	427
3300020525-bin.26	k__Archaea	3.59	1.08	987485	232	30.2	1052
3300020525-bin.3	p__Bacteroidetes	37.39	0.03	910128	231	35.5	976
3300020525-bin.4	k__Bacteria	28.45	0.00	340394	86	39.7	418
3300020525-bin.5	k__Bacteria	35.34	0.85	851390	224	62.7	992
3300020525-bin.6	k__Archaea	2.66	0.00	317397	30	31.4	327
3300020525-bin.7	k__Archaea	3.51	0.58	477255	47	26.0	483
3300020525-bin.8	k__Bacteria	40.99	1.72	1009438	186	45.5	1127
3300020525-bin.9	k__Bacteria	12.70	0.00	452685	139	32.8	530
3300020526-bin.1	o__Actinomycetales	42.49	0.53	666911	156	38.2	787
3300020526-bin.10	k__Bacteria	84.47	4.02	1436628	234	51.8	1691
3300020526-bin.11	k__Bacteria	25.95	0.00	1207183	351	50.6	1252
3300020526-bin.12	o__Actinomycetales	66.39	2.24	995370	128	42.3	1102
3300020526-bin.13	o__Actinomycetales	72.09	2.43	1107067	116	38.7	1192
3300020526-bin.14	k__Bacteria	56.16	0.11	533240	115	29.4	632
3300020526-bin.15	k__Bacteria	66.38	6.03	1071482	127	46.0	1124
3300020526-bin.16	o__Actinomycetales	16.18	0.00	274262	74	54.4	354
3300020526-bin.17	k__Bacteria	28.36	0.43	583824	140	51.5	690
3300020526-bin.18	p__Cyanobacteria	95.71	0.34	4009088	315	37.1	3808
3300020526-bin.19	c__Betaproteobacteria	65.97	0.88	715489	125	36.8	876
3300020526-bin.2	o__Actinomycetales	68.95	1.22	870314	134	39.9	976
3300020526-bin.20	p__Cyanobacteria	69.84	1.13	1842505	371	66.4	2099
3300020526-bin.3	k__Bacteria	30.49	0.00	296261	68	39.5	355
3300020526-bin.4	k__Bacteria	92.87	1.18	5195933	398	55.2	4048
3300020526-bin.5	k__Bacteria	79.63	3.34	975660	161	62.6	1081
3300020526-bin.6	k__Bacteria	46.38	0.00	530516	121	29.2	654
3300020526-bin.7	f__Flavobacteriaceae	95.58	1.58	2747908	231	33.6	2722
3300020526-bin.8	root	4.17	0.00	294067	91	45.5	349
3300020526-bin.9	k__Bacteria	54.31	1.72	1019063	180	46.4	1114
3300020527-bin.1	c__Betaproteobacteria	59.93	1.43	709547	152	37.1	865
3300020527-bin.10	k__Bacteria	20.85	1.72	369068	99	46.0	428
3300020527-bin.11	root	0.00	0.00	271078	6	32.1	311
3300020527-bin.12	p__Cyanobacteria	98.10	1.59	2747952	152	68.0	2982
3300020527-bin.13	root	0.00	0.00	305785	71	35.8	411
3300020527-bin.14	root	0.00	0.00	380611	33	60.4	454
3300020527-bin.15	root	0.00	0.00	380726	59	33.5	515
3300020527-bin.16	k__Bacteria	28.57	1.20	227240	54	29.4	278
3300020527-bin.17	k__Bacteria	18.10	0.00	278219	68	46.2	336
3300020527-bin.18	p__Cyanobacteria	25.43	0.00	770979	201	59.6	945
3300020527-bin.19	root	12.50	0.00	254889	67	45.7	304
3300020527-bin.2	root	0.00	0.00	286334	39	32.5	383
3300020527-bin.20	k__Bacteria	0.00	0.00	239199	53	38.3	367
3300020527-bin.3	root	0.00	0.00	311962	22	33.2	392
3300020527-bin.4	k__Bacteria	45.56	1.20	433658	87	29.3	534
3300020527-bin.5	o__Actinomycetales	50.16	1.49	648737	149	42.4	779
3300020527-bin.6	k__Bacteria	74.66	3.22	1907561	336	65.4	1872
3300020527-bin.7	k__Bacteria	1.72	0.00	289182	48	36.3	386
3300020527-bin.8	o__Actinomycetales	49.39	2.37	669963	163	38.8	839
3300020527-bin.9	root	0.00	0.00	311233	43	35.2	415
3300020528-bin.1	k__Bacteria	45.45	2.04	533417	132	53.5	673
3300020528-bin.10	k__Bacteria	48.35	1.61	509210	108	29.1	603
3300020528-bin.11	k__Bacteria	46.04	0.00	435778	100	29.6	511
3300020528-bin.12	root	0.00	0.00	272192	40	29.9	363
3300020528-bin.13	o__Actinomycetales	60.91	1.58	875150	145	42.3	1012
3300020528-bin.14	k__Bacteria	24.42	0.93	499238	119	62.8	572
3300020528-bin.15	k__Bacteria	30.91	0.27	725703	197	33.3	799
3300020528-bin.16	root	16.67	0.00	313605	83	38.1	389
3300020528-bin.17	p__Bacteroidetes	42.25	0.00	1005506	250	35.5	1087
3300020528-bin.18	k__Bacteria	26.03	0.00	315744	79	41.1	376
3300020528-bin.19	o__Actinomycetales	79.02	1.22	1077450	78	40.8	1143
3300020528-bin.2	o__Actinomycetales	47.39	0.81	601182	123	39.9	707
3300020528-bin.3	p__Bacteroidetes	26.61	0.00	650289	166	36.0	707
3300020528-bin.4	p__Cyanobacteria	45.08	0.00	1684008	444	42.3	1807
3300020528-bin.5	k__Bacteria	29.31	0.00	424424	98	39.4	486
3300020528-bin.6	o__Burkholderiales	26.49	0.04	542463	156	51.4	694
3300020528-bin.7	o__Actinomycetales	77.98	2.35	1122251	120	38.7	1231
3300020528-bin.8	k__Bacteria	73.35	1.30	922121	178	62.6	1045
3300020528-bin.9	c__Betaproteobacteria	88.68	1.15	1102902	109	37.2	1226
3300020529-bin.1	p__Cyanobacteria	40.76	0.91	1100719	273	66.1	1262
3300020529-bin.10	k__Bacteria	32.76	0.00	548942	86	46.1	593
3300020529-bin.11	p__Cyanobacteria	54.18	0.95	1549699	353	61.1	1904
3300020529-bin.12	k__Bacteria	45.45	0.00	505656	109	40.1	611
3300020529-bin.13	p__Bacteroidetes	16.54	0.00	438453	113	37.6	483
3300020529-bin.14	k__Bacteria	31.35	0.00	614979	137	46.3	707
3300020529-bin.15	k__Bacteria	26.04	0.09	434623	105	51.8	547
3300020529-bin.16	k__Bacteria	21.00	1.72	344657	61	46.1	386
3300020529-bin.17	k__Bacteria	31.90	0.00	524872	120	38.2	622
3300020529-bin.18	k__Bacteria	24.65	0.00	428105	119	53.2	546
3300020529-bin.19	k__Bacteria	63.09	1.28	1286243	217	59.8	1468
3300020529-bin.2	k__Bacteria	59.42	1.28	664702	125	29.6	787
3300020529-bin.20	k__Bacteria	56.14	0.00	503216	109	29.2	607
3300020529-bin.21	k__Bacteria	24.36	0.08	355151	100	53.6	458
3300020529-bin.3	o__Actinomycetales	63.32	3.33	938703	132	42.3	1035
3300020529-bin.4	k__Bacteria	30.49	0.00	428353	103	39.5	504
3300020529-bin.5	c__Betaproteobacteria	87.94	1.71	1063023	94	37.1	1184
3300020529-bin.6	o__Actinomycetales	72.75	0.93	1084525	127	38.6	1191
3300020529-bin.7	k__Bacteria	52.73	0.00	1449318	340	62.5	1735
3300020529-bin.8	k__Bacteria	30.94	0.00	354962	100	50.1	449
3300020529-bin.9	k__Bacteria	61.39	1.39	796050	143	62.6	906
3300020530-bin.1	root	0.00	0.00	220987	16	31.5	272
3300020530-bin.10	root	4.17	0.00	273956	24	30.8	346
3300020530-bin.11	o__Actinomycetales	74.24	0.79	1015386	86	40.8	1080
3300020530-bin.12	root	0.00	0.00	814514	112	33.2	1241
3300020530-bin.13	root	0.00	0.00	276182	39	34.7	396
3300020530-bin.14	root	4.17	0.00	278759	21	61.1	336
3300020530-bin.15	k__Bacteria	64.97	1.20	613196	113	29.3	713
3300020530-bin.16	k__Bacteria	57.76	6.03	1063857	149	46.4	1164
3300020530-bin.17	o__Actinomycetales	70.10	1.67	901680	105	39.9	986
3300020530-bin.18	root	0.00	0.00	288681	29	31.5	390
3300020530-bin.2	k__Bacteria	28.79	0.00	263103	61	39.3	317
3300020530-bin.3	k__Bacteria	68.24	2.48	749187	139	29.5	896
3300020530-bin.4	k__Bacteria	17.24	0.00	219053	60	40.8	257
3300020530-bin.5	p__Cyanobacteria	97.83	0.82	2880921	71	67.8	3076
